sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"South Carolina Gamecocks",38,1284,50.1,1549,1.206,1284,755,529,58.8,58.8,0.05,5.3,58.8,1284,755,529,58.8,0,0,0,,0
2,"LSU Tigers",37,1155,46.6,1359,1.177,1155,653,502,56.5,56.5,0.06,6,56.5,1155,653,502,56.5,0,0,0,,0
3,"Iowa Hawkeyes",39,1130,44.4,1504,1.331,1130,722,408,63.9,63.9,0.07,7.1,63.9,1130,722,408,63.9,0,0,0,,0
4,"Drake Bulldogs",35,1124,52.9,1423,1.266,1124,689,435,61.3,61.3,0.05,5,61.3,1124,689,435,61.3,0,0,0,,0
5,"Cleveland State Vikings",36,1057,51.7,1220,1.154,1057,584,473,55.3,55.3,0.07,6.9,55.3,1057,584,473,55.3,0,0,0,,0
6,"Baylor Bears",34,1012,46.7,1175,1.161,1012,566,446,55.9,55.9,0.06,6,55.9,1012,566,446,55.9,0,0,0,,0
7,"Saint Louis Billikens",40,1011,41.1,1153,1.14,1011,555,456,54.9,54.9,0.06,5.7,54.9,1011,555,456,54.9,0,0,0,,0
8,"Texas-(Austin) Longhorns",38,1004,42.2,1256,1.251,1004,605,399,60.3,60.3,0.07,7.2,60.3,1004,605,399,60.3,0,0,0,,0
9,"Illinois-Chicago Flames",34,1000,50.9,1125,1.125,1000,541,459,54.1,54.1,0.06,6.2,54.1,1000,541,459,54.1,0,0,0,,0
10,"Florida State Seminoles",34,970,41.2,1030,1.062,970,494,476,50.9,50.9,0.06,6,50.9,970,494,476,50.9,0,0,0,,0
11,"Notre Dame Fighting Irish",35,964,42.2,1160,1.203,964,555,409,57.6,57.6,0.06,6.4,57.6,964,555,409,57.6,0,0,0,,0
12,"Colorado Buffaloes",34,947,44.6,1113,1.175,947,540,407,57,57,0.05,5,57,947,540,407,57,0,0,0,,0
12,"Evansville Aces",32,947,48.6,878,0.927,947,424,523,44.8,44.8,0.05,5.3,44.8,947,424,523,44.8,0,0,0,,0
14,"Penn State Lady Lions",35,942,42.7,1169,1.241,942,570,372,60.5,60.5,0.05,5.2,60.5,942,570,372,60.5,0,0,0,,0
14,"Niagara Purple Eagles",35,942,38.7,991,1.052,942,481,461,51.1,51.1,0.05,4.7,51.1,942,481,461,51.1,0,0,0,,0
16,"West Virginia Mountaineers",33,936,47.2,1100,1.175,936,532,404,56.8,56.8,0.06,5.9,56.8,936,532,404,56.8,0,0,0,,0
16,"Boston College Eagles",33,936,44.1,1090,1.165,936,528,408,56.4,56.4,0.06,5.9,56.4,936,528,408,56.4,0,0,0,,0
18,"Maryland Terrapins",34,933,42.9,1064,1.14,933,513,420,55,55,0.06,6,55,933,513,420,55,0,0,0,,0
19,"Arizona Wildcats",34,932,45.5,1037,1.113,932,506,426,54.3,54.3,0.04,4.3,54.3,932,506,426,54.3,0,0,0,,0
20,"Utah Utes",34,922,44.5,1131,1.227,922,552,370,59.9,59.9,0.05,4.9,59.9,922,552,370,59.9,0,0,0,,0
21,"Florida International Panthers",33,920,46.7,987,1.073,920,475,445,51.6,51.6,0.07,6.5,51.6,920,475,445,51.6,0,0,0,,0
22,"Oklahoma Sooners",34,918,39.7,1059,1.154,918,515,403,56.1,56.1,0.05,4.7,56.1,918,515,403,56.1,0,0,0,,0
22,"Stanford Cardinal",36,918,40.1,1117,1.217,918,541,377,58.9,58.9,0.05,4.8,58.9,918,541,377,58.9,0,0,0,,0
24,"Coastal Carolina Chanticleers",33,917,46.5,969,1.057,917,463,454,50.5,50.5,0.07,7.4,50.5,917,463,454,50.5,0,0,0,,0
24,"Oral Roberts Golden Eagles",32,917,39.9,1063,1.159,917,506,411,55.2,55.2,0.07,7.2,55.2,917,506,411,55.2,0,0,0,,0
26,"Georgia Southern Eagles",33,912,39.1,1006,1.103,912,494,418,54.2,54.2,0.04,3.6,54.2,912,494,418,54.2,0,0,0,,0
27,"Grambling State Tigers",33,911,41.9,957,1.05,911,467,444,51.3,51.3,0.04,4,51.3,911,467,444,51.3,0,0,0,,0
28,"Alabama Crimson Tide",34,908,43.7,978,1.077,908,472,436,52,52,0.06,6.1,52,908,472,436,52,0,0,0,,0
29,"Indiana University - Indianapolis Jaguars",30,906,53,913,1.008,906,441,465,48.7,48.7,0.06,6.4,48.7,906,441,465,48.7,0,0,0,,0
29,"Purdue Fort Wayne Mastodons",36,906,41,938,1.035,906,455,451,50.2,50.2,0.04,4.1,50.2,906,455,451,50.2,0,0,0,,0
31,"North Texas Mean Green",32,899,47.8,1078,1.199,899,524,375,58.3,58.3,0.06,6,58.3,899,524,375,58.3,0,0,0,,0
32,"Texas A&M Aggies",32,894,43.1,1040,1.163,894,499,395,55.8,55.8,0.06,6.2,55.8,894,499,395,55.8,0,0,0,,0
33,"Portland Pilots",34,893,44.7,1017,1.139,893,493,400,55.2,55.2,0.05,5,55.2,893,493,400,55.2,0,0,0,,0
34,"Pacific Tigers",34,891,43.3,1025,1.15,891,495,396,55.6,55.6,0.05,4.7,55.6,891,495,396,55.6,0,0,0,,0
35,"Eastern Kentucky Colonels",34,886,41.1,931,1.051,886,450,436,50.8,50.8,0.05,5.2,50.8,886,450,436,50.8,0,0,0,,0
36,"Kansas State Wildcats",34,883,43.3,1115,1.263,883,539,344,61,61,0.07,6.7,61,883,539,344,61,0,0,0,,0
36,"South Dakota State Jackrabbits",33,883,47.3,1049,1.188,883,502,381,56.9,56.9,0.07,7,56.9,883,502,381,56.9,0,0,0,,0
36,"California Baptist Lancers",32,883,41.4,974,1.103,883,465,418,52.7,52.7,0.07,7.1,52.7,883,465,418,52.7,0,0,0,,0
39,"UCLA Bruins",34,880,40,1068,1.214,880,515,365,58.5,58.5,0.05,5.5,58.5,880,515,365,58.5,0,0,0,,0
40,"Florida Gulf Coast Eagles",34,879,43.6,1073,1.221,879,517,362,58.8,58.8,0.06,6.4,58.8,879,517,362,58.8,0,0,0,,0
41,"Connecticut Huskies",38,878,37.7,1182,1.346,878,564,314,64.2,64.2,0.08,8.2,64.2,878,564,314,64.2,0,0,0,,0
42,"Stephen F. Austin Lumberjacks",34,877,40.2,1050,1.197,877,497,380,56.7,56.7,0.08,8.2,56.7,877,497,380,56.7,0,0,0,,0
43,"Murray State Racers",32,875,40.3,1096,1.253,875,524,351,59.9,59.9,0.07,7.4,59.9,875,524,351,59.9,0,0,0,,0
44,"Kansas Jayhawks",33,874,47.1,979,1.12,874,468,406,53.5,53.5,0.07,7.3,53.5,874,468,406,53.5,0,0,0,,0
45,"South Dakota Coyotes",35,873,43.6,968,1.109,873,464,409,53.2,53.2,0.05,5.4,53.2,873,464,409,53.2,0,0,0,,0
46,"Stetson Hatters",33,869,46.7,866,0.997,869,412,457,47.4,47.4,0.07,6.9,47.4,869,412,457,47.4,0,0,0,,0
47,"Southern Miss Golden Eagles",34,868,41.6,971,1.119,868,466,402,53.7,53.7,0.06,5.9,53.7,868,466,402,53.7,0,0,0,,0
48,"James Madison Dukes",35,867,38.7,1012,1.167,867,488,379,56.3,56.3,0.06,5.9,56.3,867,488,379,56.3,0,0,0,,0
49,"Marshall Thundering Herd",33,866,36.7,1007,1.163,866,489,377,56.5,56.5,0.07,6.8,56.5,866,489,377,56.5,0,0,0,,0
50,"Ohio State Buckeyes",32,864,43.4,1097,1.27,864,529,335,61.2,61.2,0.07,6.6,61.2,864,529,335,61.2,0,0,0,,0
51,"Richmond Spiders",35,863,45.4,1054,1.221,863,506,357,58.6,58.6,0.06,5.8,58.6,863,506,357,58.6,0,0,0,,0
52,"Illinois Fighting Illini",35,861,39.6,1037,1.204,861,502,359,58.3,58.3,0.05,4.9,58.3,861,502,359,58.3,0,0,0,,0
53,"Sacred Heart Pioneers",34,860,42.1,963,1.12,860,460,400,53.5,53.5,0.07,7.1,53.5,860,460,400,53.5,0,0,0,,0
53,"Toledo Rockets",34,860,41.8,1012,1.177,860,489,371,56.9,56.9,0.06,5.8,56.9,860,489,371,56.9,0,0,0,,0
55,"Southern Illinois Salukis",31,858,45.4,854,0.995,858,410,448,47.8,47.8,0.06,5.8,47.8,858,410,448,47.8,0,0,0,,0
56,"North Dakota State Bison",34,852,41.6,949,1.114,852,454,398,53.3,53.3,0.07,6.7,53.4,852,454,398,53.3,0,0,0,,0
56,"Mississippi State Bulldogs",35,852,38.7,1052,1.235,852,505,347,59.3,59.3,0.08,7.5,59.3,852,505,347,59.3,0,0,0,,0
58,"Florida Gators",32,851,41,974,1.145,851,470,381,55.2,55.2,0.06,5.8,55.2,851,470,381,55.2,0,0,0,,0
59,"Louisville Cardinals",34,850,42,1009,1.187,850,491,359,57.8,57.8,0.06,5.8,57.8,849,491,358,57.8,1,0,1,0,0
59,"Norfolk State Spartans",33,849,41.7,886,1.044,849,423,426,49.8,49.8,0.06,6.2,49.8,849,423,426,49.8,0,0,0,,0
59,"North Carolina State Wolfpack",38,849,35.5,1009,1.188,849,482,367,56.8,56.8,0.08,7.5,56.8,849,482,367,56.8,0,0,0,,0
62,"Gonzaga Bulldogs",36,847,38.1,1029,1.215,847,500,347,59,59,0.04,4.4,59,847,500,347,59,0,0,0,,0
63,"Texas State Bobcats",32,842,46.6,859,1.02,842,418,424,49.6,49.6,0.04,4.4,49.6,842,418,424,49.6,0,0,0,,0
64,"Texas-(Arlington) Mavericks",33,841,41.6,907,1.078,841,441,400,52.4,52.4,0.05,4.6,52.4,841,441,400,52.4,0,0,0,,0
65,"Fresno State Bulldogs",33,837,42.1,840,1.004,837,410,427,49,49,0.04,3.8,49,837,410,427,49,0,0,0,,0
66,"Michigan State Spartans",31,835,43.5,1035,1.24,835,501,334,60,60,0.06,6.2,60,835,501,334,60,0,0,0,,0
67,"Eastern Washington Eagles",35,832,37.6,868,1.043,832,425,407,51.1,51.1,0.03,3,51.1,832,425,407,51.1,0,0,0,,0
68,"Texas A&M-(Corpus Christi) Islanders",31,831,45.3,892,1.073,831,429,402,51.6,51.6,0.05,5.2,51.6,831,429,402,51.6,0,0,0,,0
69,"Maine Black Bears",34,830,41.3,906,1.092,830,438,392,52.8,52.8,0.05,4.7,52.8,830,438,392,52.8,0,0,0,,0
70,"Kentucky Wildcats",32,828,42.6,836,1.01,828,404,424,48.8,48.8,0.06,6.3,48.8,828,404,424,48.8,0,0,0,,0
71,"Northern Arizona Lumberjacks",35,826,36.2,896,1.085,826,429,397,51.9,51.9,0.05,5.3,51.9,826,429,397,51.9,0,0,0,,0
72,"Auburn Tigers",32,822,41.8,905,1.101,822,437,385,53.2,53.2,0.05,5.5,53.2,822,437,385,53.2,0,0,0,,0
73,"Saint Joseph's Hawks",34,818,43.1,934,1.142,818,449,369,54.9,54.9,0.06,5.7,54.9,818,449,369,54.9,0,0,0,,0
73,"Grand Canyon University Antelopes",32,818,43.6,985,1.204,818,479,339,58.6,58.6,0.05,4.8,58.6,818,479,339,58.6,0,0,0,,0
75,"Northern Colorado Bears",31,817,48.6,865,1.059,817,417,400,51,51,0.06,6.4,51,817,417,400,51,0,0,0,,0
76,"Detroit Titans",33,815,45.6,891,1.093,815,428,387,52.5,52.5,0.06,5.8,52.5,815,428,387,52.5,0,0,0,,0
76,"Utah Tech University Trailblazers",32,815,41.6,945,1.16,815,456,359,56,56,0.05,5.2,56,815,456,359,56,0,0,0,,0
78,"Bethune-Cookman Wildcats",31,814,41.9,817,1.004,814,394,420,48.4,48.4,0.06,5.9,48.4,814,394,420,48.4,0,0,0,,0
79,"N.J.I.T. Highlanders",32,811,46,799,0.985,811,386,425,47.6,47.6,0.05,5.1,47.6,811,386,425,47.6,0,0,0,,0
80,"Virginia Cavaliers",32,810,38.4,872,1.077,810,421,389,52,52,0.05,5.3,52,810,421,389,52,0,0,0,,0
80,"UNC Greensboro Spartans",33,810,40.9,907,1.12,810,439,371,54.2,54.2,0.05,5.3,54.2,810,439,371,54.2,0,0,0,,0
82,"Austin Peay Governors",34,807,45.9,914,1.133,807,444,363,55,55,0.05,5.3,55,807,444,363,55,0,0,0,,0
83,"Stony Brook Seawolves",33,805,39.8,960,1.193,805,459,346,57,57,0.06,5.8,57,805,459,346,57,0,0,0,,0
83,"Duke Blue Devils",34,805,40.2,969,1.204,805,467,338,58,58,0.06,5.8,58,805,467,338,58,0,0,0,,0
85,"Providence Friars",34,802,45.3,842,1.05,802,408,394,50.9,50.9,0.05,5.4,50.9,802,408,394,50.9,0,0,0,,0
85,"Northern Kentucky Norse",32,802,43.8,852,1.062,802,412,390,51.4,51.4,0.06,6.5,51.4,802,412,390,51.4,0,0,0,,0
87,"Troy Trojans",34,798,31.3,934,1.17,798,448,350,56.1,56.1,0.07,6.5,56.1,798,448,350,56.1,0,0,0,,0
88,"Vanderbilt Commodores",33,797,39.6,889,1.115,797,427,370,53.6,53.6,0.06,6,53.6,797,427,370,53.6,0,0,0,,0
88,"Belmont Bruins",35,797,39.9,929,1.166,797,445,352,55.8,55.8,0.08,8.2,55.8,797,445,352,55.8,0,0,0,,0
88,"Nevada Wolf Pack",32,797,39.5,780,0.979,797,379,418,47.6,47.6,0.04,3.6,47.6,797,379,418,47.6,0,0,0,,0
91,"Indiana Hoosiers",32,796,42.7,1092,1.372,796,524,272,65.8,65.8,0.08,8,65.8,796,524,272,65.8,0,0,0,,0
92,"Buffalo Bulls",33,795,41.4,836,1.052,795,402,393,50.6,50.6,0.05,5.4,50.6,795,402,393,50.6,0,0,0,,0
92,"Fairfield Stags",33,795,40.9,1006,1.265,795,491,304,61.8,61.8,0.05,4.8,61.8,795,491,304,61.8,0,0,0,,0
94,"Charleston Cougars",32,793,36,794,1.001,793,384,409,48.4,48.4,0.05,4.7,48.4,793,384,409,48.4,0,0,0,,0
95,"Illinois State Redbirds",34,792,40.3,897,1.133,792,428,364,54,54,0.08,8,54,792,428,364,54,0,0,0,,0
96,"UNLV Rebels",33,791,37,949,1.2,791,455,336,57.5,57.5,0.06,5.6,57.6,791,455,336,57.5,0,0,0,,0
96,"Morehead State Eagles",30,791,43.9,816,1.032,791,397,394,50.2,50.2,0.06,5.8,50.2,791,397,394,50.2,0,0,0,,0
98,"West Georgia Wolves",29,788,46.9,888,1.127,788,433,355,54.9,54.9,0.05,5.1,54.9,788,433,355,54.9,0,0,0,,0
99,"Iowa State Cyclones",33,786,40.1,924,1.176,786,450,336,57.3,57.3,0.05,5.2,57.3,786,450,336,57.3,0,0,0,,0
100,"East Carolina Pirates",33,785,39,870,1.108,785,418,367,53.2,53.2,0.06,6.2,53.2,785,418,367,53.2,0,0,0,,0
100,"North Carolina A&T Aggies",33,785,41.2,827,1.054,785,399,386,50.8,50.8,0.06,5.7,50.8,785,399,386,50.8,0,0,0,,0
100,"Long Beach State 49ers",33,785,39.1,871,1.11,785,424,361,54,54,0.05,5.4,54,785,424,361,54,0,0,0,,0
103,"UMBC Retrievers",29,784,48.5,748,0.954,784,365,419,46.6,46.6,0.04,4.1,46.6,784,365,419,46.6,0,0,0,,0
103,"Wichita State Shockers",32,784,39.8,815,1.04,784,393,391,50.1,50.1,0.06,6.3,50.1,784,393,391,50.1,0,0,0,,0
103,"Old Dominion Lady Monarchs",32,784,39.1,800,1.02,784,386,398,49.2,49.2,0.05,4.6,49.2,784,386,398,49.2,0,0,0,,0
106,"San Francisco Dons",30,783,42.8,795,1.015,783,384,399,49,49,0.05,5.5,49,783,384,399,49,0,0,0,,0
107,"Jackson State Tigers",32,782,39.9,839,1.073,782,408,374,52.2,52.2,0.04,4.5,52.2,782,408,374,52.2,0,0,0,,0
107,"Dayton Flyers",31,782,41.2,841,1.075,782,405,377,51.8,51.8,0.06,6,51.8,782,405,377,51.8,0,0,0,,0
107,"Ohio Bobcats",30,782,45,798,1.02,782,384,398,49.1,49.1,0.05,5.2,49.1,782,384,398,49.1,0,0,0,,0
110,"Wake Forest Demon Deacons",32,781,43.4,811,1.038,781,390,391,49.9,49.9,0.05,5,49.9,781,390,391,49.9,0,0,0,,0
111,"Rutgers Scarlet Knights",32,779,43.4,881,1.131,779,419,360,53.8,53.8,0.08,8.3,53.8,779,419,360,53.8,0,0,0,,0
111,"Rice Owls",34,779,37.6,816,1.047,779,395,384,50.7,50.7,0.06,5.5,50.7,779,395,384,50.7,0,0,0,,0
113,"Loyola (Chicago) Ramblers",31,777,45.6,786,1.012,777,382,395,49.2,49.2,0.04,4.2,49.2,777,382,395,49.2,0,0,0,,0
113,"Arkansas-(Pine Bluff) Golden Lions",32,777,37.5,870,1.12,777,422,355,54.3,54.3,0.06,6,54.3,777,422,355,54.3,0,0,0,,0
113,"UCF Knights",29,777,47.3,775,0.997,777,374,403,48.1,48.1,0.06,5.5,48.1,777,374,403,48.1,0,0,0,,0
116,"DePaul Blue Demons",32,776,36.6,872,1.124,776,421,355,54.3,54.3,0.05,5,54.3,776,421,355,54.3,0,0,0,,0
117,"Ball State Cardinals",34,775,38.7,987,1.274,775,470,305,60.6,60.6,0.09,9.3,60.6,775,470,305,60.6,0,0,0,,0
117,"Tulsa Golden Hurricane",35,775,36.9,870,1.123,775,416,359,53.7,53.7,0.07,6.6,53.7,775,416,359,53.7,0,0,0,,0
119,"Michigan Wolverines",34,774,37.9,871,1.125,774,417,357,53.9,53.9,0.06,5.9,53.9,774,417,357,53.9,0,0,0,,0
120,"New Orleans Privateers",30,773,41.5,707,0.915,773,337,436,43.6,43.6,0.05,5.3,43.6,773,337,436,43.6,0,0,0,,0
121,"Washington State Cougars",36,772,36,939,1.216,772,455,317,58.9,58.9,0.05,4.5,58.9,772,455,317,58.9,0,0,0,,0
122,"Louisiana-(Monroe) Warhawks",35,770,34.2,891,1.157,770,428,342,55.6,55.6,0.06,6.1,55.6,770,428,342,55.6,0,0,0,,0
123,"Virginia Commonwealth Rams",32,769,43.6,808,1.051,769,389,380,50.6,50.6,0.06,6,50.6,769,389,380,50.6,0,0,0,,0
124,"Columbia Lions",30,768,41.3,950,1.237,768,463,305,60.3,60.3,0.05,4.8,60.3,768,463,305,60.3,0,0,0,,0
124,"McNeese State Cowgirls",31,768,42.1,817,1.064,768,393,375,51.2,51.2,0.05,5.5,51.2,768,393,375,51.2,0,0,0,,0
124,"North Carolina Central Eagles",31,768,39.6,773,1.007,768,375,393,48.8,48.8,0.05,4.9,48.8,768,375,393,48.8,0,0,0,,0
127,"Purdue Boilermakers",34,767,37.4,843,1.099,767,404,363,52.7,52.7,0.06,5.7,52.7,767,404,363,52.7,0,0,0,,0
128,"Central Arkansas Bears",33,766,40.4,894,1.167,766,430,336,56.1,56.1,0.08,7.6,56.1,766,430,336,56.1,0,0,0,,0
128,"New Mexico Lobos",32,766,40.3,800,1.044,766,384,382,50.1,50.1,0.06,5.9,50.1,766,384,382,50.1,0,0,0,,0
130,"Boise State Broncos",35,765,37.4,784,1.025,765,381,384,49.8,49.8,0.05,5,49.8,765,381,384,49.8,0,0,0,,0
130,"Miami (FL) Hurricanes",32,765,39.8,890,1.163,765,431,334,56.3,56.3,0.07,6.5,56.3,765,431,334,56.3,0,0,0,,0
132,"UAB Blazers",32,764,39.7,823,1.077,764,392,372,51.3,51.3,0.07,6.8,51.3,764,392,372,51.3,0,0,0,,0
133,"Wright State Raiders",33,761,38.3,815,1.071,761,390,371,51.2,51.2,0.06,6.3,51.2,761,390,371,51.2,0,0,0,,0
134,"Tennessee State Tigers",30,760,41.2,745,0.98,760,364,396,47.9,47.9,0.04,4.1,47.9,760,364,396,47.9,0,0,0,,0
134,"Brigham Young Cougars",33,761,41.3,815,1.071,761,399,362,52.4,52.4,0.04,3.5,52.4,760,399,361,52.5,1,0,1,0,0
134,"Missouri State Lady Bears",33,760,37.8,887,1.167,760,431,329,56.7,56.7,0.05,5,56.7,760,431,329,56.7,0,0,0,,0
134,"Campbell Fighting Camels",32,760,44.5,835,1.099,760,410,350,53.9,53.9,0.04,3.8,53.9,760,410,350,53.9,0,0,0,,0
138,"St. Thomas (MN) Tommies",31,759,42.7,896,1.181,759,433,326,57,57,0.05,5.3,57,759,433,326,57,0,0,0,,0
139,"Wisconsin Badgers",32,758,42.5,843,1.112,758,402,356,53,53,0.06,6.1,53,758,402,356,53,0,0,0,,0
140,"Georgia State Panthers",30,757,39.9,876,1.157,757,416,341,55,55,0.08,7.9,55,757,416,341,55,0,0,0,,0
140,"Northern Iowa Panthers",32,757,37.9,845,1.116,757,406,351,53.6,53.6,0.07,7.3,53.6,757,406,351,53.6,0,0,0,,0
142,"Vermont Catamounts",37,756,38.8,850,1.124,756,414,342,54.8,54.8,0.05,4.6,54.8,756,414,342,54.8,0,0,0,,0
143,"Delaware Fightin Blue Hens",31,755,40.2,808,1.07,755,393,362,52.1,52.1,0.05,5,52.1,755,393,362,52.1,0,0,0,,0
144,"Wyoming Cowgirls",33,754,42.2,981,1.301,754,478,276,63.4,63.4,0.05,4.5,63.4,754,478,276,63.4,0,0,0,,0
144,"Kent State Golden Flashes",32,754,37.8,864,1.146,754,415,339,55,55,0.06,6.5,55,754,415,339,55,0,0,0,,0
146,"Appalachian State Mountaineers",32,753,36.1,803,1.066,753,387,366,51.4,51.4,0.07,6.6,51.4,753,387,366,51.4,0,0,0,,0
147,"Texas-(San Antonio) Roadrunners",33,752,36.1,824,1.096,752,399,353,53.1,53.1,0.05,5.3,53.1,752,399,353,53.1,0,0,0,,0
147,"Fordham Rams",29,752,42.9,808,1.074,752,393,359,52.3,52.3,0.05,5.3,52.3,752,393,359,52.3,0,0,0,,0
147,"Rhode Island Rams",35,752,36.1,780,1.037,752,378,374,50.3,50.3,0.06,5.6,50.3,752,378,374,50.3,0,0,0,,0
147,"Oregon State Beavers",35,752,37.5,940,1.25,752,456,296,60.6,60.6,0.06,5.9,60.6,752,456,296,60.6,0,0,0,,0
151,"Idaho Vandals",31,750,43.5,719,0.959,750,349,401,46.5,46.5,0.04,4.1,46.5,750,349,401,46.5,0,0,0,,0
151,"Presbyterian Blue Hose",36,750,38.1,796,1.061,750,388,362,51.7,51.7,0.05,4.5,51.7,750,388,362,51.7,0,0,0,,0
151,"Georgia Tech Yellow Jackets",33,750,37.5,885,1.18,750,426,324,56.8,56.8,0.07,7.5,56.8,750,426,324,56.8,0,0,0,,0
154,"Southern Methodist Mustangs",30,749,41.8,873,1.166,749,422,327,56.3,56.3,0.07,6.5,56.3,749,422,327,56.3,0,0,0,,0
155,"Holy Cross Crusaders",34,748,37,789,1.055,748,384,364,51.3,51.3,0.04,4.1,51.3,748,384,364,51.3,0,0,0,,0
156,"Nebraska Cornhuskers",35,747,35,872,1.167,747,421,326,56.4,56.4,0.06,6.2,56.4,747,421,326,56.4,0,0,0,,0
156,"Cincinnati Bearcats",32,747,39.4,723,0.968,747,341,406,45.6,45.6,0.07,7.2,45.6,747,341,406,45.6,0,0,0,,0
156,"Tennessee Lady Volunteers",34,747,34.4,894,1.197,747,431,316,57.7,57.7,0.06,6.4,57.7,747,431,316,57.7,0,0,0,,0
156,"Seton Hall Pirates",32,747,40.3,826,1.106,747,398,349,53.3,53.3,0.06,6.3,53.3,747,398,349,53.3,0,0,0,,0
160,"High Point Panthers",32,746,42.4,810,1.086,746,394,352,52.8,52.8,0.05,5.2,52.8,746,394,352,52.8,0,0,0,,0
161,"Memphis Tigers",30,745,36.4,770,1.034,745,372,373,49.9,49.9,0.05,5.1,49.9,745,372,373,49.9,0,0,0,,0
161,"Arizona State Sun Devils",31,745,39.8,730,0.98,745,354,391,47.5,47.5,0.04,4.4,47.5,745,354,391,47.5,0,0,0,,0
163,"Arkansas Razorbacks",33,742,35.4,760,1.024,742,361,381,48.7,48.7,0.07,7.4,48.7,742,361,381,48.7,0,0,0,,0
163,"Washington Huskies",31,742,40.8,822,1.108,742,401,341,54,54,0.04,4.2,54,742,401,341,54,0,0,0,,0
165,"Oakland Golden Grizzlies",29,741,39.1,792,1.069,741,378,363,51,51,0.08,8,51,741,378,363,51,0,0,0,,0
165,"Monmouth Hawks",32,741,41,786,1.061,741,380,361,51.3,51.3,0.05,4.9,51.3,741,380,361,51.3,0,0,0,,0
167,"Valparaiso University",30,740,45.8,756,1.022,740,359,381,48.5,48.5,0.08,8,48.5,740,359,381,48.5,0,0,0,,0
167,"Cal Poly SLO Mustangs",31,740,44.3,771,1.042,740,376,364,50.8,50.8,0.04,4.1,50.8,740,376,364,50.8,0,0,0,,0
169,"Mississippi Rebels",33,739,37.2,822,1.112,739,392,347,53,53,0.07,7.2,53,739,392,347,53,0,0,0,,0
170,"Kennesaw State Fighting Owls",30,738,42.3,713,0.966,738,348,390,47.2,47.2,0.04,4.5,47.2,738,348,390,47.2,0,0,0,,0
170,"Akron Zips",30,738,42,759,1.028,738,366,372,49.6,49.6,0.05,5,49.6,738,366,372,49.6,0,0,0,,0
172,"Nebraska-Omaha Mavericks",31,737,40.5,792,1.075,737,375,362,50.9,50.9,0.07,7.3,50.9,737,375,362,50.9,0,0,0,,0
173,"Albany Great Danes",32,736,44.2,806,1.095,736,387,349,52.6,52.6,0.06,6.3,52.6,736,387,349,52.6,0,0,0,,0
173,"Youngstown State Penguins",32,736,41.4,791,1.075,736,387,349,52.6,52.6,0.04,4.1,52.6,736,387,349,52.6,0,0,0,,0
173,"Indiana State Sycamores",32,736,38.9,800,1.087,736,385,351,52.3,52.3,0.06,5.7,52.3,736,385,351,52.3,0,0,0,,0
176,"Clemson Tigers",31,733,40.1,875,1.194,733,419,314,57.2,57.2,0.07,7.4,57.2,733,419,314,57.2,0,0,0,,0
176,"Prairie View A&M Panthers",29,733,40.9,718,0.98,733,344,389,46.9,46.9,0.06,5.9,46.9,733,344,389,46.9,0,0,0,,0
176,"USC Trojans",35,733,33.2,865,1.18,733,415,318,56.6,56.6,0.07,6.8,56.6,733,415,318,56.6,0,0,0,,0
179,"Seattle Redhawks",29,732,41.7,723,0.988,732,350,382,47.8,47.8,0.04,4.4,47.8,732,350,382,47.8,0,0,0,,0
179,"Duquesne Dukes",33,732,37.4,856,1.169,732,411,321,56.1,56.1,0.06,6.4,56.1,732,411,321,56.1,0,0,0,,0
